Transaction ID,Date,Amount,Category,Description,Account Number,Vendor,Payment Method,Status,Anomaly Flag,Risk Score,Notes
TX-10001,2024-01-01,-4800.00,Rent,Monthly rent payment,1234-5678-9012-3456,Waterloo Commercial Properties,EFT,Completed,0,10,
TX-10002,2024-02-01,-4800.00,Rent,Monthly rent payment,1234-5678-9012-3456,Waterloo Commercial Properties,EFT,Completed,0,10,
TX-10003,2024-03-01,-4800.00,Rent,Monthly rent payment,1234-5678-9012-3456,Waterloo Commercial Properties,EFT,Completed,0,10,
TX-10004,2024-04-01,-4800.00,Rent,Monthly rent payment,1234-5678-9012-3456,Waterloo Commercial Properties,EFT,Completed,0,10,
TX-10005,2024-05-01,-4800.00,Rent,Monthly rent payment,1234-5678-9012-3456,Waterloo Commercial Properties,EFT,Completed,0,10,
TX-10006,2024-06-01,-4800.00,Rent,Monthly rent payment,1234-5678-9012-3456,Waterloo Commercial Properties,EFT,Completed,0,10,
TX-20001,2024-01-15,-1333.00,Utilities,Monthly electricity bill,2345-6789-0123-4567,Waterloo North Hydro,EFT,Completed,0,10,
TX-20010,2024-01-18,-946.00,Utilities,Monthly gas bill,2345-6789-0123-4567,Enbridge Gas,EFT,Completed,0,10,
TX-20020,2024-01-20,-695.00,Utilities,Monthly water bill,2345-6789-0123-4567,City of Waterloo Water,EFT,Completed,0,10,
TX-20030,2024-01-22,-249.99,Utilities,Monthly business internet,2345-6789-0123-4567,Rogers Internet,Credit Card,Completed,0,10,
TX-20002,2024-02-15,-1352.00,Utilities,Monthly electricity bill,2345-6789-0123-4567,Waterloo North Hydro,EFT,Completed,0,10,
TX-20011,2024-02-18,-861.00,Utilities,Monthly gas bill,2345-6789-0123-4567,Enbridge Gas,EFT,Completed,0,10,
TX-20021,2024-02-20,-639.00,Utilities,Monthly water bill,2345-6789-0123-4567,City of Waterloo Water,EFT,Completed,0,10,
TX-20031,2024-02-22,-249.99,Utilities,Monthly business internet,2345-6789-0123-4567,Rogers Internet,Credit Card,Completed,0,10,
TX-20003,2024-03-15,-1434.00,Utilities,Monthly electricity bill,2345-6789-0123-4567,Waterloo North Hydro,EFT,Completed,0,10,
TX-20012,2024-03-18,-894.00,Utilities,Monthly gas bill,2345-6789-0123-4567,Enbridge Gas,EFT,Completed,0,10,
TX-20022,2024-03-20,-721.00,Utilities,Monthly water bill,2345-6789-0123-4567,City of Waterloo Water,EFT,Completed,0,10,
TX-20032,2024-03-22,-249.99,Utilities,Monthly business internet,2345-6789-0123-4567,Rogers Internet,Credit Card,Completed,0,10,
TX-20004,2024-04-15,-1292.00,Utilities,Monthly electricity bill,2345-6789-0123-4567,Waterloo North Hydro,EFT,Completed,0,10,
TX-20013,2024-04-18,-996.00,Utilities,Monthly gas bill,2345-6789-0123-4567,Enbridge Gas,EFT,Completed,0,10,
TX-20023,2024-04-20,-740.00,Utilities,Monthly water bill,2345-6789-0123-4567,City of Waterloo Water,EFT,Completed,0,10,
TX-20033,2024-04-22,-249.99,Utilities,Monthly business internet,2345-6789-0123-4567,Rogers Internet,Credit Card,Completed,0,10,
TX-20005,2024-05-15,-1223.00,Utilities,Monthly electricity bill,2345-6789-0123-4567,Waterloo North Hydro,EFT,Completed,0,10,
TX-20014,2024-05-18,-929.00,Utilities,Monthly gas bill,2345-6789-0123-4567,Enbridge Gas,EFT,Completed,0,10,
TX-20024,2024-05-20,-709.00,Utilities,Monthly water bill,2345-6789-0123-4567,City of Waterloo Water,EFT,Completed,0,10,
TX-20034,2024-05-22,-249.99,Utilities,Monthly business internet,2345-6789-0123-4567,Rogers Internet,Credit Card,Completed,0,10,
TX-20006,2024-06-15,-1405.00,Utilities,Monthly electricity bill,2345-6789-0123-4567,Waterloo North Hydro,EFT,Completed,0,10,
TX-20015,2024-06-18,-944.00,Utilities,Monthly gas bill,2345-6789-0123-4567,Enbridge Gas,EFT,Completed,0,10,
TX-20025,2024-06-20,-692.00,Utilities,Monthly water bill,2345-6789-0123-4567,City of Waterloo Water,EFT,Completed,0,10,
TX-20035,2024-06-22,-249.99,Utilities,Monthly business internet,2345-6789-0123-4567,Rogers Internet,Credit Card,Completed,0,10,
TX-30000,2024-01-01,-2632.00,Food Supplies,Weekly food inventory order,1234-5678-9012-3456,Ontario Meat Distributors,EFT,Completed,0,20,
TX-30001,2024-01-08,-2895.00,Food Supplies,Weekly food inventory order,1234-5678-9012-3456,Local Farms Co-op,EFT,Completed,0,20,
TX-30002,2024-01-15,-2335.00,Food Supplies,Weekly food inventory order,1234-5678-9012-3456,Gordon Food Service,EFT,Completed,0,20,
TX-30003,2024-01-22,-2638.00,Food Supplies,Weekly food inventory order,1234-5678-9012-3456,Gordon Food Service,EFT,Completed,0,20,
TX-30004,2024-02-01,-2818.00,Food Supplies,Weekly food inventory order,1234-5678-9012-3456,Sysco Canada,EFT,Completed,0,20,
TX-30005,2024-02-08,-2654.00,Food Supplies,Weekly food inventory order,1234-5678-9012-3456,Local Farms Co-op,EFT,Completed,0,20,
TX-30006,2024-02-15,-2758.00,Food Supplies,Weekly food inventory order,1234-5678-9012-3456,Ontario Meat Distributors,EFT,Completed,0,20,
TX-30007,2024-02-22,-2870.00,Food Supplies,Weekly food inventory order,1234-5678-9012-3456,Gordon Food Service,EFT,Completed,0,20,
TX-30008,2024-03-01,-2061.00,Food Supplies,Weekly food inventory order,1234-5678-9012-3456,Local Farms Co-op,EFT,Completed,0,20,
